Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
1,3036,3215,5.283333333,NA,370,359
2,4057,4694,5.5296875,5.3821875,979,850
3,4782,4894,5.713333333,5.448333333,1015,833
4,5401,5473,NA,5.4975,1101,931
5,6001,6091,5.792,NA,1416,804
6,6461,6531,5.8075,NA,1340,1005
7,6840,6911,5.6425,5.4475,1067,838
8,6958,7091,5.601428571,5.408571429,1002,857
9,7120,7293,5.631111111,5.468888889,932,835
10,7422,7512,5.51,5.474,819,812
11,7674,7903,5.665,5.605833333,895,756
12,7934,8567,5.555625,5.52625,825,775
13,8595,8785,5.496,5.464,873,751
14,8854,8945,5.53,5.252,943,714
15,9440,9650,5.604545455,NA,1478,741
16,10337,10410,NA,5.5,1496,960
17,10632,10888,5.536666667,5.393076923,1503,810
18,12055,12124,4.5075,4.7575,789,297
19,12558,12709,5.02625,5.108,1298,921
20,13132,13229,5.145,5.226,940,694
21,14631,14784,4.82625,NA,482,297
22,14814,15046,4.861666667,4.76,556,279
23,15216,15326,4.965,4.768333333,706,423
24,15495,15565,4.945,NA,812,326
25,15733,15843,4.998333333,NA,670,270
26,16269,16408,5.41,NA,1276,567
27,17888,18080,4.92,4.996,482,636
28,18250,18401,5.02,4.965,484,519
29,18571,18681,4.743333333,4.736666667,516,661
30,18770,18902,4.811428571,4.645714286,672,481
31,20210,20284,5.035,NA,1148,513
32,20309,20463,4.99875,4.708571429,1079,524
33,20613,20884,4.608571429,4.444285714,891,461
34,21126,21741,4.70516129,NA,1247,452
35,21847,22041,4.793,NA,1123,442
36,22087,22181,4.886,NA,1086,365
37,22288,22364,4.8075,4.585,979,413
38,22428,22579,4.85,4.705714286,862,359
39,22608,22698,4.886,4.854,795,379
40,22728,23021,4.946,4.901333333,726,469
41,23367,23456,4.784,4.686,945,754
42,24171,24283,4.601666667,4.7,525,473
43,24529,24603,4.63,4.5925,457,543
44,24864,24940,4.905,NA,1145,424
45,25285,25363,4.85,4.635,1155,735
46,25406,25516,4.703333333,4.456666667,1053,783
47,25566,25679,4.488333333,4.306666667,1094,720
48,25843,25957,4.465,4.283333333,1013,787
49,26205,26416,4.555454545,4.418181818,1795,268
50,27323,27397,4.485,4.5125,642,102
51,27422,27660,4.413636364,4.4775,652,67
52,28881,29001,4.485,NA,1096,413
53,29185,29416,4.5675,4.412727273,1129,527
54,32559,32635,4.56,NA,1430,601
55,33523,33613,4.904,NA,1615,731
56,35340,35430,5.016,4.82,1134,562
57,38299,38455,5.64875,5.40875,1119,790
58,38560,38631,5.5675,5.4575,1024,784
59,38701,38851,5.7125,4.994,946,610
60,39957,40068,4.986666667,4.72,1071,535
61,40176,40251,5.085,4.735,1042,460
62,40275,40392,4.948333333,4.628333333,983,445
63,40457,40748,4.823333333,4.618,864,413
64,41076,41148,5.0775,5.0625,671,494
65,41256,41353,5.158,4.992,786,588
66,41439,42470,5.088653846,4.88,835,460
67,43336,43446,5.6125,5.36,1563,92
68,43834,43946,5.641666667,5.336,1050,720
69,43975,44085,5.74,5.3325,1035,672
70,44333,44452,5.9,4.91,1077,601
71,44515,44649,5.604285714,4.93,903,478
72,44738,45107,5.712105263,4.92,1041,489
73,45214,45349,5.647142857,NA,1075,499
74,45438,45549,5.745,4.855,973,410
75,45592,46687,5.695636364,4.704545455,1017,375
76,46893,47168,4.652857143,NA,1221,285
77,47812,47924,4.943333333,NA,1060,329
78,48632,48784,4.94375,4.675,1093,485
79,49150,49544,5.346,4.998333333,847,331
80,49733,49803,5.5575,NA,1167,311
81,49852,49982,5.395714286,NA,1009,256
82,50291,50482,5.358,5.046666667,708,370
83,50733,50863,5.833333333,5.57,1160,520
84,50894,51026,5.706,5.471428571,1122,501
85,51091,51307,5.521428571,5.400909091,1168,392
86,52330,52407,5.42,5.325,1493,299
87,53529,53640,5.69,5.208333333,1368,80
88,53890,53962,5.5675,5.2225,1403,34
89,54010,54081,5.1375,4.97,1331,29
90,54130,54266,5.102857143,4.918571429,1371,60
91,54970,55162,5.449,5.16625,1066,633
92,55206,55404,5.477,NA,1195,501
93,55490,55560,5.19,4.9075,985,555
94,55666,55820,4.985,4.92,750,551
95,55850,56004,5.04875,5.01375,705,589
96,56568,56800,5.108333333,5.120833333,670,642
97,56907,57038,5.128571429,5.12,704,630
98,57670,57801,5.352857143,5.06,1162,568
99,57850,57942,5.334,NA,1037,567
