"jointType","x","y","z","time"
0,-0.0592109077,-0.410578728,1.17334878,1
1,-0.06692959,-0.08486685,1.263185,1
2,-0.07359707,0.225655511,1.33731568,1
3,-0.06697546,0.355152637,1.36586082,1
4,-0.199971363,0.09020665,1.24099779,1
5,-0.249960035,-0.135539979,1.1819644,1
6,-0.238484353,-0.328679383,1.08742762,1
7,-0.230754226,-0.375777453,1.07766974,1
8,0.09084721,0.08032173,1.27024364,1
9,0.184051856,-0.07757675,1.16644573,1
10,0.214765579,0.04602274,1.041742,1
11,0.205446482,0.0778901353,1.02812386,1
12,-0.120069571,-0.400691241,1.14253306,1
13,-0.1290141,-0.748114645,1.13769281,1
14,-0.140094087,-1.09031665,1.15667,1
15,-0.129908636,-1.12221217,1.05016792,1
16,0.00434418954,-0.400727838,1.14771116,1
17,0.0213972069,-0.749122143,1.12876618,1
18,0.037874952,-1.09214032,1.13401759,1
19,0.0514518321,-1.117303,1.02488244,1
20,-0.072119154,0.14993538,1.32092178,1
21,-0.218272224,-0.437884361,1.05978739,1
22,-0.269962966,-0.3849163,1.06976581,1
23,0.2153674,0.13517791,0.9915798,1
24,0.156208292,0.06720434,0.9959999,1
0,-0.059725,-0.3382314,1.19962287,2
1,-0.06648787,-0.0460020825,1.28735209,2
2,-0.07264862,0.232449025,1.3584857,2
3,-0.07414736,0.361832976,1.39278865,2
4,-0.200583875,0.104796082,1.27432084,2
5,-0.2544444,-0.129778638,1.20109439,2
6,-0.238311172,-0.323118061,1.09188819,2
7,-0.232299581,-0.374412,1.07672036,2
8,0.06580425,0.102403373,1.27532625,2
9,0.15687561,-0.08317916,1.19451773,2
10,0.166998357,0.03826373,1.03021646,2
11,0.173941344,0.05972855,1.02588642,2
12,-0.119687222,-0.3294251,1.16571343,2
13,-0.133352771,-0.574163854,1.1233598,2
14,-0.15449807,-0.8939704,1.1077075,2
15,-0.155565709,-0.9119195,0.9933618,2
16,0.00340943551,-0.3281319,1.16507089,2
17,0.0355077274,-0.556060255,1.12316346,2
18,0.08079624,-0.888968647,1.10758412,2
19,0.08938038,-0.9061111,0.993219,2
20,-0.0712132156,0.1645399,1.34305251,2
21,-0.219676018,-0.433741152,1.05451477,2
22,-0.267625064,-0.373945922,1.0671798,2
23,0.1889356,0.1093939,0.968903542,2
24,0.147725925,0.09035216,1.03308332,2
0,-0.06466479,-0.340074837,1.20237815,3
1,-0.06977434,-0.0459785461,1.29295874,3
2,-0.07425703,0.2319317,1.3672874,3
3,-0.07105027,0.359450758,1.40367818,3
4,-0.201717392,0.104882054,1.28020215,3
5,-0.259782225,-0.128742024,1.20735264,3
6,-0.243611485,-0.3216173,1.09576166,3
7,-0.23474133,-0.373549581,1.07730687,3
8,0.06826214,0.101563506,1.28412783,3
9,0.148154363,-0.09227815,1.2001828,3
10,0.148862347,-0.008341367,1.09265375,3
11,0.160485685,0.03431713,1.04621172,3
12,-0.1242003,-0.331320733,1.168016,3
13,-0.135754287,-0.574985743,1.12445617,3
14,-0.154504567,-0.8955143,1.10733128,3
15,-0.153950542,-0.9133463,0.99267143,3
16,-0.001210031,-0.329673946,1.16866016,3
17,0.0328239277,-0.557911932,1.12352979,3
18,0.08038734,-0.8893486,1.10353529,3
19,0.09050873,-0.9048005,0.9884798,3
20,-0.07329691,0.164397851,1.35108793,3
21,-0.220586032,-0.4322791,1.057096,3
22,-0.271318078,-0.378485441,1.06867111,3
23,0.144701049,0.0705297738,1.01232064,3
24,0.124601349,0.0408306941,1.0524348,3
0,-0.06091734,-0.339199066,1.200728,4
1,-0.0626998842,-0.04478714,1.28851318,4
2,-0.06381018,0.232554913,1.35782683,4
3,-0.0575174,0.359632283,1.39139807,4
4,-0.1947093,0.107561879,1.28164411,4
5,-0.249823451,-0.128660664,1.21641648,4
6,-0.238599986,-0.322785467,1.10295081,4
7,-0.230997548,-0.369082063,1.08566535,4
8,0.07479299,0.0921599641,1.26674247,4
9,0.208475456,-0.008890695,1.1220032,4
10,0.203141078,0.1667582,1.02227271,4
11,0.192573786,0.220665321,1.00980031,4
12,-0.121020786,-0.330254078,1.16786063,4
13,-0.133702308,-0.574221849,1.12538552,4
14,-0.153760925,-0.894690037,1.10971463,4
15,-0.158183515,-0.9122789,0.994992137,4
16,0.002741644,-0.3285386,1.16378534,4
17,0.0350096375,-0.550543,1.12083852,4
18,0.08241042,-0.888836145,1.10364842,4
19,0.0875846446,-0.905965567,0.9885503,4
20,-0.0636343956,0.165220931,1.34299576,4
21,-0.220941558,-0.426307529,1.05752373,4
22,-0.2674297,-0.378765762,1.07535076,4
23,0.188236341,0.263013452,0.9867966,4
24,0.136795267,0.191440314,0.9658413,4
0,-0.0421951637,-0.3425062,1.25942135,5
1,-0.0339994356,-0.04315688,1.31972778,5
2,-0.02507741,0.240027964,1.3666991,5
3,-0.0355383381,0.367531747,1.39965773,5
