Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
156,7,201,3.957,3.3025,605,345
157,276,703,3.818636364,2.986666667,618,334
158,2129,2206,4.165,NA,182,699
159,2428,2505,4.4725,3.766666667,1044,139
160,2689,2845,4.325,4.19,905,197
161,2910,3105,4.143,3.835555556,838,203
162,3134,3224,4.012,3.01,853,247
163,3250,3444,3.955,3.601,820,259
164,3511,3645,3.867142857,NA,917,334
165,3792,3917,3.857142857,4.194285714,956,538
166,4012,4217,4.069090909,4.569,858,462
167,4347,4744,4.16,3.218888889,800,312
168,4926,5043,3.996666667,4.13,415,543
169,5193,5280,4.028,4.322,909,411
170,5385,5561,3.945555556,3.685555556,772,305
171,5628,5984,3.912222222,2.920555556,778,256
172,6090,6322,3.968333333,4.08,1159,325
173,6389,6456,3.9475,4.4575,935,351
174,6507,6700,3.75,4.262,907,397
175,6807,7521,3.242222222,3.3725,760,373
176,8087,8382,3.55,3.345,807,481
177,8425,8561,3.538571429,3.22,901,455
178,8667,9003,3.548235294,3.52,882,484
179,9207,9378,3.55,3.127777778,680,511
180,9432,9635,3.415454545,2.367272727,468,505
181,9663,10202,3.482592593,2.615925926,487,487
182,10224,10559,3.669411765,2.77,521,473
183,10588,11041,3.706521739,2.7395,560,471
184,11127,11256,3.655714286,3.011666667,583,476
185,11343,11674,3.588235294,3.694117647,435,523
186,11706,11798,3.654,3.99,393,550
187,11985,12060,3.865,4.115,942,361
188,12125,12232,3.961666667,3.978,715,497
189,12405,12580,4.172222222,4.03,861,379
190,12724,12793,4.17,3.71,720,472
191,12888,12978,4.064,3.7,726,465
192,13003,13197,4.024,3.835,872,351
193,13330,13599,4.069285714,4.015454545,878,382
194,13648,13796,4.25875,4.151428571,904,393
195,13822,14137,4.205625,4.375625,931,396
196,14286,14376,4.22,NA,784,441
197,14402,14876,4.299166667,4.2105,896,371
198,14905,15137,4.304166667,4.32,962,373
199,15166,15234,3.94,3.853333333,818,400
200,15282,15398,3.748333333,3.503333333,762,423
201,15660,15777,3.531666667,3.8475,940,417
202,16065,16194,3.561428571,3.004285714,901,317
203,16268,16356,3.732,2.748,678,496
204,16480,16634,3.7675,2.85,946,404
205,16759,16915,3.86875,3.2,898,355
206,17199,17455,3.813076923,3.749166667,844,378
207,17801,18030,4.078333333,NA,756,696
208,18081,18155,4.1325,NA,828,620
209,18258,18377,4.266666667,4.49,925,507
210,18438,18571,4.434285714,NA,933,542
211,18905,19195,4.552666667,4.916666667,1032,566
212,20003,20248,4.296923077,4.775384615,996,494
213,20297,20375,4.08,NA,916,408
214,20463,20595,3.962857143,4.145714286,950,289
215,20658,21154,4.0112,3.88,856,259
216,21179,21389,4.067272727,NA,857,191
217,21462,21655,4.336,4.047,932,295
218,21876,21951,4.525,NA,848,225
219,21979,22570,4.475333333,NA,821,193
220,22643,22774,4.62,NA,854,334
221,22857,23752,4.485333333,3.536363636,790,202
222,23778,23887,4.475,NA,805,269
223,24156,24232,4.495,NA,787,299
224,24255,25074,4.360487805,3.6,821,216
225,25237,25493,4.473076923,4.175,859,97
226,25677,26013,3.983529412,4.010666667,912,295
227,26035,26153,3.766666667,4.01,774,391
228,26238,26470,3.581666667,5.155555556,743,327
229,26593,26770,3.767777778,NA,900,209
230,26838,26993,3.61375,3.51,624,376
231,27073,27244,3.615555556,3.66375,894,336
232,27736,27811,3.97,NA,839,344
233,28075,28143,4.0075,3.04,895,152
234,28259,28347,4.158,3.26,780,414
235,28376,28531,4.20875,NA,749,429
236,28617,28790,4.21,3.38,766,400
237,28995,29130,4.252857143,3.95,921,287
238,29198,29330,4.188571429,3.63,816,393
239,29416,29651,4.225833333,3.807272727,920,314
240,29776,29867,4.2,5.64,827,397
241,29899,30006,4.24,4.16,812,391
242,30112,30371,4.381538462,3.595,794,224
243,30592,30669,4.47,3.68,898,315
244,30872,30968,4.392,4.1425,793,300
245,31074,31202,4.477142857,3.948571429,872,305
246,31317,31627,4.4375,3.663571429,892,325
247,31654,31827,4.437777778,4.0225,918,325
248,31892,31968,4.48,4.06,936,278
249,32073,32141,4.5075,3.6225,915,300
250,32257,32402,4.61,3.865,850,379
251,32470,32586,4.635,4.105,923,260
252,32635,32949,4.60125,3.688666667,896,315
253,33070,33262,4.704,4.37,876,340
254,33409,33888,4.615833333,3.935,858,280
255,33931,34005,4.565,3.7,868,262
256,34272,34659,4.5035,3.882222222,871,275
257,34775,34906,4.567142857,4.06,883,287
258,34993,35104,4.525,3.878,896,263
259,35153,35242,4.52,3.824,883,289
260,35269,35646,4.454210526,3.79,867,293
261,35890,36042,4.29875,NA,820,227
262,36273,36427,4.081428571,3.474,730,213
263,36492,36582,4.154,NA,877,229
264,36688,36803,4.08,6.055,864,245
265,36887,37026,4.161428571,4.424285714,938,404
266,37068,37305,4.195,4.309166667,896,393
267,37334,37721,4.171,4.435,868,395
268,37750,37906,4.16,4.2675,884,398
269,37969,38044,4.16,3.89,820,356
270,38128,38226,4.124,3.832,831,360
271,38248,38524,4.144285714,4.301428571,854,387
272,38592,38765,4.34,4.581111111,1072,410
273,38966,39303,4.277058824,4.31125,951,235
274,39332,39400,4.215,NA,917,275
275,39428,39625,4.2,4.303,945,240
276,39708,39785,4.24,4.435,934,221
277,39892,39961,4.435,NA,912,246
278,40010,40117,4.49,4.224,977,174
279,40146,40263,4.505,NA,901,232
280,40330,41264,4.546382979,NA,891,240
281,41329,41419,4.682,4.492,1056,255
282,41467,41803,4.683529412,4.445,1050,221
283,41890,41997,4.31,NA,892,251
284,42092,43000,4.289782609,NA,879,239
285,43049,43203,4.61375,4.67875,1018,253
286,43264,43360,4.506,4.424,896,254
287,43864,43939,4.2475,4.6725,906,406
288,43969,44337,4.141578947,4.327894737,871,448
289,44443,44636,4.109,4.63,926,416
290,44704,44936,4.1425,4.391818182,917,423
291,44963,45099,4.214285714,4.128333333,905,392
292,45127,45198,4.26,4.295,892,406
293,45348,45599,4.404615385,4.06,877,389
294,45667,46920,4.328412698,4.454310345,908,392
295,46942,47176,4.4425,4.568333333,950,386
296,47262,47579,4.57,4.134375,906,348
297,47781,47935,4.49875,3.833333333,688,250
298,47983,48061,4.47,NA,778,279
299,48243,48532,4.414,NA,923,102
300,48627,49014,4.282,5.295,761,274
