"jointType","x","y","z","time"
0,-0.145966351,-0.497451246,2.62490654,1
1,-0.133687109,-0.227365822,2.6454134,1
2,-0.121061727,0.0378598943,2.652781,1
3,-0.113490477,0.146185786,2.673646,1
4,-0.273855567,-0.0776245445,2.63550353,1
5,-0.348539054,-0.231084228,2.6264627,1
6,-0.21309194,-0.232118011,2.45924,1
7,-0.154863968,-0.223910466,2.47583628,1
8,0.0283077843,-0.08329384,2.66888475,1
9,0.131869555,-0.243730247,2.73230577,1
10,0.0425573252,-0.258320183,2.53647661,1
11,0.0542918369,-0.274799138,2.49061823,1
12,-0.207884938,-0.477335185,2.58282137,1
13,-0.291998833,-0.710834265,2.44287086,1
14,-0.3645706,-1.131688,2.37347937,1
15,-0.354373038,-1.19379163,2.30019236,1
16,-0.07995059,-0.5044999,2.601574,1
17,-0.08987229,-0.846239,2.60771513,1
18,-0.0971066058,-1.12284112,2.44056773,1
19,-0.08682338,-1.12385929,2.308847,1
20,-0.124252722,-0.0277894158,2.653405,1
21,-0.102766812,-0.245946348,2.47071815,1
22,-0.145045117,-0.168187261,2.49333358,1
23,0.06207297,-0.2730622,2.4447875,1
24,0.06733243,-0.236732543,2.50344443,1
0,-0.1462513,-0.4872249,2.61731482,2
1,-0.13232629,-0.2167535,2.64014339,2
2,-0.117770784,0.0499403775,2.649263,2
3,-0.118947312,0.152872935,2.670406,2
4,-0.272249341,-0.06749666,2.635519,2
5,-0.343365282,-0.223492488,2.62975049,2
6,-0.21200712,-0.231687889,2.45940757,2
7,-0.148941979,-0.222587392,2.46955347,2
8,0.02758099,-0.07195708,2.65613937,2
9,0.132008746,-0.239450276,2.68599319,2
10,0.062494982,-0.267133236,2.48347664,2
11,0.0371040031,-0.293493122,2.47718215,2
12,-0.208889827,-0.471446127,2.58149362,2
13,-0.286464185,-0.724484563,2.448354,2
14,-0.361675143,-1.1446079,2.37755847,2
15,-0.3512691,-1.19477522,2.28845787,2
16,-0.08030924,-0.490199775,2.586847,2
17,-0.08869587,-0.8332785,2.58394074,2
18,-0.096997954,-1.20231485,2.42888045,2
19,-0.0958458,-1.22582316,2.32024956,2
20,-0.121494733,-0.0161144584,2.64925337,2
21,-0.09131945,-0.247259319,2.46088028,2
22,-0.134603173,-0.170303866,2.48637486,2
23,0.0149275893,-0.3215625,2.43942833,2
24,0.07331903,-0.26194635,2.43419266,2
0,-0.145635381,-0.481884569,2.60858917,3
1,-0.1291399,-0.210706726,2.62936449,3
2,-0.112133183,0.0553414226,2.636592,3
3,-0.115497448,0.156693444,2.654463,3
4,-0.26833874,-0.06620369,2.629901,3
5,-0.339280158,-0.223708585,2.62840772,3
6,-0.214981809,-0.233716726,2.452756,3
7,-0.147078648,-0.225615144,2.45989227,3
8,0.02761455,-0.06153438,2.633609,3
9,0.12502864,-0.233171031,2.63849926,3
10,0.0327520929,-0.326233566,2.46864,3
11,-0.0156915151,-0.362669438,2.49645948,3
12,-0.20764038,-0.469229162,2.57762313,3
13,-0.283314139,-0.714413345,2.44873238,3
14,-0.3579772,-1.13469756,2.37800837,3
15,-0.353242844,-1.19101393,2.29571819,3
16,-0.0797556639,-0.483088672,2.57397723,3
17,-0.088388294,-0.827441752,2.557541,3
18,-0.100162879,-1.126258,2.439284,3
19,-0.09957057,-1.13384187,2.30834222,3
20,-0.116454974,-0.0105059035,2.63708973,3
21,-0.08824229,-0.249499872,2.44992924,3
22,-0.130742788,-0.1728198,2.47556114,3
23,-0.0407177061,-0.426480442,2.452018,3
24,-0.0529364422,-0.342738479,2.489316,3
0,-0.147057608,-0.485221982,2.61237955,4
1,-0.132426277,-0.218627021,2.63170457,4
2,-0.118675165,0.0418520235,2.64021325,4
3,-0.124570586,0.155531555,2.65035748,4
4,-0.2739584,-0.0734270662,2.64372849,4
5,-0.342823237,-0.233087242,2.64319468,4
6,-0.214489415,-0.2910752,2.48226571,4
7,-0.171344429,-0.2767863,2.47145557,4
8,0.0282501988,-0.07529266,2.64859343,4
9,0.126064733,-0.244911224,2.66446233,4
10,0.03510435,-0.328358352,2.48870039,4
11,-0.0164226182,-0.363389045,2.49656081,4
12,-0.208534569,-0.474497825,2.581513,4
13,-0.2857396,-0.717208147,2.44805765,4
14,-0.36368075,-1.13581765,2.370086,4
15,-0.3585282,-1.18514383,2.27973866,4
16,-0.08181505,-0.483202755,2.57810831,4
17,-0.09387539,-0.82606864,2.57694364,4
18,-0.09270665,-1.10914612,2.421524,4
19,-0.09004714,-1.11123431,2.28954148,4
20,-0.122122988,-0.0223945118,2.64012146,4
21,-0.1049148,-0.267774731,2.45445037,4
22,-0.200349852,-0.2222797,2.413605,4
23,-0.02866964,-0.42856136,2.47035313,4
24,-0.0526025742,-0.376968533,2.50411129,4
0,-0.145044789,-0.488761216,2.61030269,5
1,-0.132742718,-0.220766217,2.6319592,5
2,-0.120036952,0.0423556753,2.64179444,5
3,-0.1277537,0.154361382,2.64873838,5
4,-0.273571551,-0.0751327053,2.6418674,5
5,-0.335324466,-0.235240877,2.63444328,5
6,-0.215211391,-0.229904383,2.45553565,5
7,-0.1511482,-0.2242201,2.46735573,5
8,0.0267429035,-0.0731232539,2.64846659,5
9,0.105580933,-0.2397128,2.628049,5
10,0.0166556574,-0.354071,2.493747,5
11,-0.0287281238,-0.397968441,2.51648664,5
12,-0.207086533,-0.474921972,2.57902384,5
13,-0.282891124,-0.7186452,2.44634247,5
14,-0.3632735,-1.13786113,2.3758266,5
15,-0.356184781,-1.18743169,2.285779,5
16,-0.0798175558,-0.490952343,2.57610416,5
17,-0.08871252,-0.8349157,2.56330681,5
18,-0.10078188,-1.19095147,2.428089,5
19,-0.102457583,-1.20949042,2.31723642,5
20,-0.12331178,-0.0227486752,2.64150786,5
21,-0.09229369,-0.2513332,2.45696163,5
22,-0.132234886,-0.177050531,2.48457766,5
23,-0.0555211455,-0.463028431,2.47861457,5
24,0.00287493621,-0.447431952,2.5374,5
0,-0.148003578,-0.488433063,2.612545,6
1,-0.134108827,-0.221096948,2.633829,6
2,-0.11981263,0.0407107733,2.64330935,6
3,-0.12637946,0.1531771,2.649966,6
4,-0.274122328,-0.076271154,2.64404535,6
5,-0.335995734,-0.23597692,2.63775969,6
6,-0.211209178,-0.229054675,2.46225166,6
7,-0.145834133,-0.225073591,2.471311,6
8,0.0266289655,-0.07565245,2.65157437,6
9,0.13150014,-0.237982765,2.68906975,6
10,0.06132601,-0.2630212,2.48641276,6
11,0.0248563066,-0.292057872,2.47939062,6
12,-0.21013017,-0.475543022,2.581858,6
13,-0.2833984,-0.713653564,2.45004416,6
14,-0.360613942,-1.13282979,2.374811,6
15,-0.35573867,-1.18596983,2.28858137,6
16,-0.0817362145,-0.4885666,2.57806826,6
17,-0.09032067,-0.8326902,2.563799,6
18,-0.103410028,-1.12426877,2.4272747,6
19,-0.101540156,-1.12866735,2.29575324,6
20,-0.123457976,-0.02405718,2.64302087,6
21,-0.08228552,-0.2526149,2.45846272,6
22,-0.118681736,-0.17658484,2.48466659,6
23,0.0100360261,-0.320172161,2.4387958,6
24,-0.0204556286,-0.2617458,2.49494457,6
0,-0.146144673,-0.489652216,2.62299943,7
1,-0.132981911,-0.22214511,2.6456542,7
2,-0.120057046,0.0404290445,2.65634751,7
3,-0.1236171,0.149551317,2.667094,7
4,-0.274353772,-0.0770084,2.654676,7
5,-0.337853163,-0.235710889,2.65120339,7
6,-0.216891319,-0.234732375,2.47282434,7
7,-0.151594147,-0.228780866,2.48157549,7
8,0.0274179783,-0.07633734,2.66786146,7
9,0.118690036,-0.256168842,2.69927835,7
10,-0.042524904,-0.243201077,2.5594213,7
11,-0.188775972,-0.286772281,2.48592424,7
12,-0.2068083,-0.477440238,2.59225249,7
13,-0.2828215,-0.7141407,2.45649648,7
14,-0.359171927,-1.13322294,2.37958074,7
15,-0.354302973,-1.19011986,2.29803824,7
16,-0.0819163844,-0.489622742,2.58851624,7
17,-0.09007477,-0.8303917,2.60309315,7
18,-0.104066864,-1.18849587,2.447339,7
19,-0.100759149,-1.20272911,2.33476615,7
20,-0.123411372,-0.0244892184,2.65573978,7
21,-0.09178791,-0.251904368,2.473462,7
22,-0.135430023,-0.177741468,2.499939,7
23,-0.215915039,-0.242244348,2.43976021,7
24,-0.165521115,-0.230605811,2.43546152,7
0,-0.150445953,-0.493092239,2.62632155,8
1,-0.139381453,-0.227683127,2.64859056,8
2,-0.126933977,0.0323603265,2.658699,8
3,-0.14735046,0.148006529,2.67178154,8
4,-0.28608197,-0.08592958,2.668861,8
5,-0.339929521,-0.236139163,2.670932,8
6,-0.2233997,-0.23214072,2.489557,8
7,-0.153210789,-0.226383388,2.48998713,8
8,0.0130488621,-0.07743953,2.6550703,8
9,0.09023616,-0.2446265,2.59682345,8
10,-0.0989519,-0.236394018,2.50169015,8
11,-0.199421674,-0.282311171,2.49237823,8
12,-0.213073581,-0.4812878,2.60013247,8
13,-0.291143566,-0.725497365,2.45818162,8
