Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
1,40930,1254640,4.473,4.494,895.2903226,676.483871
2,41330,1256768,4.470526316,4.456315789,714.7826087,547.6521739
3,41589,1257782,4.38,4.323287671,845.4535211,619.6450704
4,42385,1258085,4.60173913,4.425454545,1134,707.5
5,42645,1258360,4.578823529,4.335833333,1103.506024,726.9638554
6,42959,1258987,4.52,4.387058824,886.6385542,701.5783133
7,43219,1259444,4.448095238,4.450384615,736.984375,567.9609375
8,44382,1259805,3.949180328,3.994754098,1051.738983,549.020339
9,45643,1260224,4.239565217,4.213478261,893.7142857,617.9285714
10,45902,1260543,4.260526316,4.215263158,1032.173913,656.0869565
11,46417,1260984,4.3744,4.1824,899.9836066,642.2622951
12,46697,1261564,4.3788,4.198,844.6033058,419.5289256
13,46798,1261941,4.358461538,4.245,861.7619048,463.9761905
14,47117,1262238,4.236956522,4.073043478,1033.612613,504.5225225
15,47397,1262782,4.294736842,4.178684211,939.2096774,450.5537634
16,47797,1262944,4.109090909,3.9,992.537037,486.7777778
17,47916,1263224,4.009375,3.86875,902.6923077,512.1794872
18,48100,1263385,3.756923077,3.673846154,979,653.5
19,48302,1263996,3.729375,3.664166667,1041.311688,669.2943723
20,49043,1264200,3.891875,3.890625,1035.512821,484.4615385
21,49259,1264723,4.01,3.914642857,1098.433824,519.6544118
22,49401,1265202,4.17137931,4.086896552,1078.957143,483.8142857
23,49619,1265623,4.2875,4.215833333,1027.5,421
24,49804,1265798,4.176,4.145,925.25,468.8541667
25,49904,1266982,4.475517241,4.359827586,1023.042553,367.8404255
26,50600,1268759,4.560645161,4.351612903,1053.72,337.9733333
27,51780,1269018,4.604615385,4.48,1068.580645,492.0967742
28,52074,1269741,4.544736842,4.4978125,1193.967568,280.1783784
29,52335,1269995,3.869545455,4.341111111,1276.037383,358.953271
30,52655,1270154,4.034,4.292,1243,349
31,53222,1270399,4.157142857,4.132857143,994,462.5
32,53374,1270517,4.07,4.090714286,1010.470588,507.1764706
33,53601,1271179,4.668,4.43,1248.366864,298.2189349
34,53756,1271298,4.05,4.056031746,1107.721311,457.9016393
35,54992,1271477,4.495384615,4.238461538,1256.301587,300.6031746
36,55454,1271934,4.646315789,4.321578947,1004.10989,338.3626374
37,55816,1273019,4.1475,4.213333333,1027.264957,504.8717949
38,56136,1274757,4.06962963,4.170740741,1036.753846,594.6769231
39,56595,1274931,3.997272727,4.047878788,927.2356688,567.1783439
40,57654,1275295,4.072352941,4.022941176,1207.361446,808.1204819
41,57916,1275611,4.522962963,4.522777778,1132.726236,692.2965779
42,58896,1275732,4.272857143,4.433793103,1145.489362,643.8510638
43,59398,1275853,3.84,4.176153846,1122.047619,673.1904762
44,59677,1276156,4.014883721,4.133023256,1114.019231,595.2307692
45,60350,1276292,3.936296296,4.067777778,1174.363636,667.6818182
46,60793,1276530,3.997391304,4.073043478,1098.163636,574.7545455
47,61373,1276995,4.022195122,4.014634146,1066.75,590.715
48,61815,1277376,4.1478125,4.0978125,1089.923567,663.8089172
49,62234,1277946,4.140322581,4.053870968,1171.273333,575.56
50,62331,1278331,4.0935,4.105,939.2989691,580.4123711
51,62827,1278715,4.117777778,4.169473684,1013.795918,686.1530612
52,63433,1280130,4.011369863,4.017534247,942.1412429,526.9632768
53,63671,1282144,4.469857143,4.493669065,1108.811209,480.1120944
54,64494,1283707,4.557078652,4.397078652,979.8677494,434.5174014
55,64786,1283912,4.662592593,4.578888889,1092.854962,616.9312977
56,65229,1284172,4.658333333,4.584166667,1002.237288,601.0677966
57,65809,1284448,4.487058824,4.270588235,740.2926829,325.597561
58,65987,1284589,4.238181818,4.171818182,727.3148148,472.5555556
59,66127,1284730,4.04,4.006,757.369863,486.7260274
60,66949,1284992,4.612727273,4.4,931.2616822,290.2242991
61,68008,1285122,4.057777778,4.02,1278.627907,632.0465116
62,68128,1285283,4.116363636,4.092727273,1271.037037,686.3333333
63,69007,1285586,3.8,3.8175,1174,626.5
64,69530,1285726,3.697,3.5935,1111.814433,438.9484536
65,70429,1285866,3.808,3.7935,1081.649485,485.0412371
66,71505,1286231,3.765,3.71,789.1428571,549.0714286
67,71805,1287045,3.852857143,3.807142857,1048.294118,560
68,72085,1287286,3.88,3.865,912.8676471,459.5147059
69,72225,1287526,3.775,3.842666667,1084.739726,501.4109589
70,72624,1287769,3.699117647,3.728529412,854.6047904,538.1976048
71,73186,1288108,3.963043478,3.846521739,968.6607143,484.9553571
72,73368,1288826,4.110638298,4.058085106,829.969163,473.3964758
73,73684,1288945,4.093076923,3.970769231,903.8571429,469.6190476
74,73863,1289042,4.208333333,4.1425,935.6724138,484.0689655
75,74063,1289807,4.356309524,4.284166667,872.7352941,464.7647059
76,75123,1290126,4.50826087,4.405652174,659.8288288,406.1261261
77,75500,1290343,4.565,4.394,1045.346939,411.8571429
78,75744,1290561,4.770714286,4.574285714,898.7014925,367.5522388
79,75984,1291166,4.686785714,4.572857143,1064.382353,438.1470588
80,76222,1291382,4.690833333,4.592916667,929.3103448,378.7586207
81,76539,1291523,4.266666667,4.265714286,969.1176471,408.1764706
82,76945,1292045,4.3478125,4.3090625,739.9677419,466.3225806
83,77222,1292147,4.335555556,4.251666667,1041.136364,476.2272727
84,77581,1293105,4.2325,4.103,934.382716,529.1687243
85,77799,1293605,4.169,4.121,896.877551,373.2040816
86,77982,1293844,4.023076923,4.075384615,1016.269841,247.5873016
87,78199,1293984,3.892727273,3.955454545,886.1886792,490
88,78383,1294363,3.972121212,4.016969697,881.9559748,453.3522013
89,78721,1295505,3.93140625,3.943125,869.8938907,473.6463023
90,78963,1295885,4.274444444,4.172888889,876.0779817,484.233945
91,79563,1296203,4.38137931,4.277931034,1002.496454,516.5319149
92,79879,1296441,4.43875,4.358125,970.7388535,546.2484076
93,80377,1297181,4.303555556,4.282666667,996.5616438,530.1506849
94,80920,1297483,4.355238095,4.237619048,1053.782178,471.1386139
95,81124,1297744,4.332,4.261714286,994.9647059,559.1647059
96,81637,1299759,4.482612613,4.402792793,1120.319703,457.0613383
97,81899,1299979,4.57,4.6,1076.275862,600.2758621
98,82636,1300139,4.291666667,4.157,862.1724138,459.6551724
99,82841,1300517,4.278666667,4.229772727,968.3963134,526.3018433
100,84335,1300738,4.443571429,4.357142857,1065.735294,494.5882353
101,84515,1304200,4.49747191,4.289775281,944.5433526,348.3757225
102,84703,1304794,4.745121951,4.63195122,1026.839196,510.7738693
103,85038,1304935,4.679166667,4.51875,863.8965517,390.6206897
104,85535,1305176,4.421052632,4.249473684,947.8695652,303.9565217
105,85776,1305317,4.444166667,4.323333333,1022.188034,463.2991453
106,86237,1305512,4.57516129,4.281612903,1175.409396,500.7852349
107,86696,1305812,4.522692308,4.286538462,1171.285714,517.6428571
108,87078,1305973,4.47375,4.287916667,909.6724138,436.4137931
109,87473,1306134,4.447037037,4.32037037,1016.671756,531.3129771
110,87953,1307016,4.490869565,4.296521739,955.5178571,477.1428571
111,88312,1307277,4.604117647,4.271764706,1018.536585,389.0487805
112,88612,1307538,4.2205,3.851,934.7010309,409.1134021
113,88972,1307777,4.282,3.93375,829.027027,364.027027
114,89141,1308171,4.287857143,4.075416667,850.5777778,404.8444444
115,89358,1309110,4.635677419,4.498311688,960.4380826,303.2343542
116,91591,1309251,4.312727273,4.172272727,1242.327103,148.9719626
117,91993,1309754,4.156521739,4.064347826,1137.378378,343.2432432
118,92231,1309990,4.070625,4.06,999.6410256,347
119,92433,1310293,3.847317073,3.814634146,989.765,401.495
120,93891,1310836,4.273333333,4.142631579,961.7591623,327.0418848
121,94334,1311093,4.234545455,4.164090909,963.752381,445.8
122,94728,1311612,4.467619048,4.392380952,993.9607843,370.6666667
123,94836,1311811,4.168205128,4.099487179,806.9308511,306.4521277
124,95509,1311987,4.061818182,3.953636364,862.9433962,365.1320755
125,95852,1312414,3.986,3.918,930.2479339,501.1570248
126,96048,1312632,4.08,4.021428571,979.4347826,593.4782609
127,96209,1312915,4.181428571,4.081904762,981.1470588,591.6764706
128,96411,1313574,4.112439024,4.075609756,1000.165,579.41
129,96649,1313753,4.2205,4.179,931.7628866,540.8969072
130,96950,1314030,4.167272727,4.080454545,914.6542056,512.9626168
131,97149,1314191,4.326153846,4.189230769,916.8267717,563.6929134
132,97590,1314413,4.237857143,4.117142857,943.5797101,567.4347826
133,97807,1314930,4.416363636,4.233181818,1079,496
134,98067,1315111,4.370909091,4.316363636,1198.444444,545.8888889
135,98351,1315254,4.408333333,4.168333333,1098.642857,385.9285714
136,98672,1315589,4.068275862,4.092758621,999.5714286,565.7785714
137,98990,1315952,4.153809524,4.110238095,962.5392157,498.3235294
138,99571,1316292,4.230277778,4.117222222,914.3636364,461.6818182
139,100034,1316787,4.319361702,4.188085106,903.6842105,497.7894737
140,100566,1316968,4.481111111,4.239444444,999.1136364,542.5227273
141,101147,1317311,4.341578947,4.119473684,1041.021739,541.25
142,101288,1317666,4.1728,4.0396,915.8429752,393.2644628
143,102086,1317850,4.285833333,4.188333333,1041.689655,455.9310345
144,102225,1320204,4.311782946,4.293100775,916.3444976,418.0047847
145,102544,1320323,4.397777778,4.2325,1062.466667,416.1333333
146,102649,1322029,4.464942529,4.21137931,969.7044917,341.56974
147,102748,1322369,4.223404255,4.085319149,992.3464912,451.3508772
148,103484,1322548,4.312,4.16,906.4693878,744.3877551
149,103645,1323068,4.468,4.383666667,910.2,562.6
150,103806,1323688,4.557878788,4.554848485,883.2327044,509.4528302
151,103967,1323927,4.492380952,4.569047619,933.1485149,667.3762376
152,104308,1324306,4.452380952,4.47,871.2941176,544
153,104427,1324521,4.426086957,4.395217391,810.5636364,578.1454545
154,104723,1324747,4.330294118,4.353235294,836.1818182,549.0181818
155,105282,1325901,4.523013699,4.45369863,912.1039326,452.0702247
156,105703,1326845,4.847205882,4.677313433,939.9399399,391.4894895
157,106265,1327545,4.563636364,4.480909091,858,522
158,106384,1327702,4.411481481,4.447407407,1033.572519,660.0458015
159,107066,1327959,4.492666667,4.444666667,970.3333333,533.3333333
160,107227,1328239,4.457,4.513,848.0927835,517.8041237
161,107443,1328500,4.4234375,4.4828125,851.3935484,550.4580645
162,107883,1330022,4.7690625,4.614270833,1043.346237,421.3956989
163,108321,1330864,4.57037037,4.475555556,1030.206897,552.3793103
164,109120,1331184,4.677307692,4.58137931,1132.742857,502.6285714
165,109863,1332019,4.475454545,4.326363636,1008.18239,461.8176101
166,110262,1332179,4.181538462,4.09,1037.677419,659.4677419
167,110502,1333039,4.251428571,4.21244898,1060.571429,533.5714286
168,110662,1333379,4.45875,4.2844,1147.363636,544
169,110921,1333623,4.4925,4.2905,1070.102041,414.0204082
170,111181,1334101,4.655714286,4.494285714,1130.138686,398.0948905
171,111341,1334502,4.742272727,4.5912,1162.704918,420.8032787
172,111502,1334600,4.333529412,4.049473684,997.8709677,459.827957
173,111821,1335021,4.6704,4.3796,1205.065574,400.4344262
174,112005,1335141,4.526923077,4.022307692,1034.174603,426.2063492
175,112265,1335480,4.442641509,4.192641509,976.1891892,479.0540541
176,113260,1336197,4.385384615,4.279230769,972.7142857,659.4761905
177,113439,1336780,4.196585366,4.101463415,849.94,612.4
178,113758,1336975,4.21,4.062,874.7010309,641.9587629
179,114359,1337332,4.224814815,4.035185185,931.1908397,421.3282443
180,114838,1337573,4.105833333,4.030833333,949.7931034,644.6551724
181,114957,1338038,4.211470588,4.158823529,875.6545455,560.6121212
182,115303,1338819,4.385348837,4.232325581,940.6842105,515.3014354
183,115464,1339077,4.581111111,4.400555556,1023.988506,537.8275862
184,115659,1339279,4.596666667,4.476666667,1024.726496,578.2564103
185,116058,1339572,4.436785714,4.305357143,912,404.5
186,116382,1339958,4.403333333,4.225,833.2954545,441.4659091
187,116558,1340174,4.368461538,4.163846154,817.2380952,390.0952381
188,116677,1340612,4.395820896,4.242537313,803.3815385,352.2030769
189,117740,1341076,4.40125,4.328125,878.3461538,425.7948718
190,117902,1341274,4.624117647,4.38,941.9390244,433.6097561
191,118139,1341814,4.5912,4.4396,884.852459,427.0163934
192,119499,1341914,4.4425,3.9575,834,369.5
193,119655,1342072,4.506666667,4.289047619,906.6534653,450.6336634
194,120054,1342172,4.4058,4.1716,914.0864198,500.6460905
195,121115,1342397,4.442666667,4.166666667,981.7945205,507.739726
196,121393,1342896,4.185416667,3.941666667,1002.255319,510.3191489
197,122021,1343135,4.204782609,3.876231884,955.3820896,437.3492537
198,123239,1344249,4.504086022,4.309789474,1086.494553,457.6906318
199,124112,1344376,4.62,4.501,1128.795918,529.3061224
200,124232,1345428,4.416524823,4.40964539,998.3352855,601.0190337
201,126913,1345632,4.283076923,4.170769231,870.5714286,550.9206349
202,127095,1346350,4.178870968,4.140645161,833.548495,578.7658863
203,127749,1346547,4.103125,4.0675,787.7848101,568.7468354
204,127912,1347514,4.2176,4.1614,924.9139344,678.1352459
205,128236,1347932,4.22625,4.192758621,1036.737589,569.751773
206,128749,1348092,4.16047619,4.11,911.9719626,495.9906542
207,129115,1348630,4.217674419,4.21372093,962.0769231,498.3076923
208,129568,1349011,4.268378378,4.148918919,955.4494382,538.8089888
209,129989,1349392,4.196363636,4.056136364,894.4835681,538.6666667
210,130568,1349987,4.279393939,4.158787879,972.2830189,514.490566
211,130793,1350325,4.7621843,4.530819672,847.8526245,225.820996
212,136712,1350573,4.7705,4.63,854.1538462,205
213,137447,1350703,4.657906977,4.436356589,869.4265176,252.6214058
214,139986,1350952,4.552962963,4.319444444,914.183908,358.7164751
215,141024,1351131,4.3024,4.1524,1023.471074,532.1570248
216,141426,1351411,4.108823529,4.101764706,905.195122,526.1829268
217,141583,1352689,4.021470588,4.073823529,1005.807229,576.8674699
218,142204,1353027,3.712272727,3.705,986.5794393,489.8224299
219,142520,1353371,3.914390244,3.940487805,934.0895522,512.3084577
220,143147,1353931,3.825428571,3.804,860.3964497,507.2662722
221,143560,1354142,3.947333333,3.7265625,752.883871,434.1483871
222,144621,1354562,3.729411765,3.727647059,1056.682927,579.5853659
223,144761,1354829,3.732,3.667333333,1055.567568,603.6216216
224,145244,1355469,3.717272727,3.621515152,963.5900621,622.4099379
225,145461,1355743,3.665454545,3.628181818,791.1730769,519.8269231
226,145665,1356029,3.667777778,3.628636364,678.3457944,523.635514
227,145922,1356168,3.6775,3.7575,901.0128205,491.4487179
228,146201,1357226,3.726153846,3.728461538,797.6984127,460.4761905
229,146463,1357644,3.782,3.885,1038.340206,469.1340206
230,146820,1357841,3.881111111,3.87125,1267.363636,746.3636364
231,146938,1359706,4.338333333,4.383,940.1862069,523.2896552
232,147181,1360105,4.374347826,4.405652174,835.1891892,434.0540541
233,147303,1360524,4.06,3.872222222,789,404.0344828
234,147617,1361045,4.314615385,4.183076923,947.7096774,484.6774194
235,148058,1361266,4.45,4.286875,1239.298701,523.1428571
236,148237,1361526,4.388421053,4.282105263,1228.27957,441.7634409
237,148641,1362325,4.46173913,4.190625,1069.181034,352.8663793
238,149479,1362620,4.4405,4.2485,992.8969072,442.9587629
239,150079,1362802,4.213333333,4.140666667,1267.616438,401.6438356
240,150637,1363441,4.260222222,4.115333333,887.559633,388.6238532
241,151015,1363924,4.476153846,4.211923077,856.472,325.976
242,151116,1366840,4.426442953,4.260536913,1038.950276,317.730663
243,151236,1367481,4.027647059,3.937058824,1196.722892,409.4096386
244,151476,1369177,4.128333333,4.131111111,927.9310345,663.5862069
245,151995,1369597,4.262051282,4.281282051,1011.231579,588.3157895
246,152583,1370439,4.515714286,4.6225,1461.343284,737.8507463
247,154216,1371497,4.5546875,4.42375,1079.363636,337.8051948
248,154314,1371697,4.247142857,4.374,1082.941176,535.3294118
249,155175,1372578,4.209375,4.201818182,1480.717949,880.3076923
250,155373,1373238,4.263448276,4.226666667,1587.87234,634.6808511
251,155579,1374575,4.346041667,4.312708333,974.7068966,488.6724138
252,156036,1374818,4.264375,4.1634375,1210.780645,552.8
253,156613,1375615,4.12962963,4.100185185,1120.666667,694.3333333
254,157013,1376050,4.245714286,4.1775,1002.411765,663.6470588
255,157560,1376712,4.2135,4.163,1048.324742,359.4226804
256,157755,1376912,4.105384615,4.2525,1023.515152,402.3484848
257,157932,1377171,4.068888889,4.086470588,1036.333333,443.6666667
258,158133,1378494,4.827848837,4.603136095,1072.469461,386.8215569
259,161394,1378809,4.822535211,4.562857143,1081.373913,355.0289855
260,162735,1378949,4.499,4.277222222,1125.484536,302.2164948
261,163109,1379391,4.174074074,4.1156,1012.259542,314.7938931
262,163331,1379650,4.457,4.159,1046.020619,378.742268
263,163554,1381153,4.773888889,4.578888889,1108.738636,309.9886364
264,163874,1381614,4.7565,4.615263158,1085.845361,348.4329897
265,164712,1382672,4.17173913,4.013809524,1018.493274,558.6636771
266,165032,1383771,4.798356164,4.589315068,1123.680791,296.8644068
267,166508,1384346,4.76625,4.238571429,1131.239316,410.3333333
268,166887,1384624,4.817333333,4.505853659,1154.577982,390.9495413
269,167631,1385109,4.723636364,NA,1211.113208,262.509434
270,167752,1386066,4.675652174,4.392173913,1141.477477,347.4864865
271,168193,1386648,4.148484848,4.128181818,1620.428571,456.7018634
272,168368,1386983,4.433793103,4.251724138,1028.255319,415
273,168874,1387210,4.293529412,4.194117647,1137.722892,582.313253
274,169133,1387448,4.438518519,4.334197531,1038.408163,460.6581633
275,170647,1388748,4.364516129,4.290806452,959.14,535.86
276,171385,1389967,4.827906977,4.684615385,1010.545455,487.1818182
277,172267,1390208,4.823,4.59,1242.306122,415.1428571
278,172625,1390428,4.571538462,4.287777778,1327.666667,411.6825397
279,173085,1394687,4.02875,3.87375,1389.820513,610.6923077
280,173207,1395043,3.933529412,3.826666667,1557.965517,617.1724138
281,174084,1395442,3.69625,3.63875,1013.363636,495.4415584
282,174182,1396105,4.004761905,3.99,943.745098,490.6764706
283,174364,1396264,4.048888889,4.007222222,966.4545455,477.3409091
284,174605,1396520,4.0265,4.019,947.6875,483.5
285,174824,1396758,3.982962963,3.982692308,992.3636364,451.8636364
