"jointType","x","y","z","time"
0,0.069356285,-0.512689769,1.96883714,1
1,0.0549119972,-0.276970327,2.03621054,1
2,0.03456695,-0.0476992652,2.093098,1
3,0.009421202,0.07237847,2.10069418,1
4,-0.0767451748,-0.163813859,2.07605314,1
5,-0.07816613,-0.3536991,2.00951672,1
6,-0.07727923,-0.5092935,1.92462838,1
7,-0.0560164861,-0.564256251,1.89729655,1
8,0.16608572,-0.132038429,2.03669953,1
9,0.25486353,-0.286282361,1.99994957,1
10,0.10205324,-0.32810238,1.85609138,1
11,0.06462135,-0.297012061,1.86283946,1
12,0.0144581189,-0.5120697,1.95163882,1
13,0.005820373,-0.753675163,1.90781069,1
14,-0.007327515,-1.02244568,1.9039216,1
15,-0.0281438436,-1.04725969,1.79834235,1
16,0.123417892,-0.497507274,1.92591417,1
17,0.148138553,-0.741974,1.89944947,1
18,0.153255925,-1.01066411,1.8826673,1
19,0.135179237,-1.03221548,1.7745384,1
20,0.0397336446,-0.104403265,2.08082151,1
21,-0.05807675,-0.615486443,1.85842824,1
22,-0.0303647183,-0.559734,1.87164044,1
23,0.04386444,-0.275579929,1.83025646,1
24,0.04969757,-0.349883318,1.86862242,1
0,0.055500485,-0.5118406,1.96301806,2
1,0.0517188273,-0.275904745,2.035864,2
2,0.0465087928,-0.0450746529,2.097355,2
3,0.04596226,0.07916851,2.10004354,2
4,-0.07000124,-0.15661402,2.07308435,2
5,-0.08891451,-0.344236851,2.01209641,2
6,-0.09336895,-0.5281871,1.9157083,2
7,-0.07627184,-0.5784244,1.88508058,2
8,0.17842634,-0.135792285,2.04336977,2
9,0.232520327,-0.294424444,1.99989426,2
10,0.09193124,-0.244020581,1.849747,2
11,0.07094926,-0.2357711,1.84205985,2
12,0.000349007925,-0.508761644,1.946182,2
13,-0.008492928,-0.751451552,1.90933228,2
14,-0.0144832823,-1.02140176,1.909343,2
15,-0.0288832374,-1.04997516,1.804216,2
16,0.10896603,-0.499864668,1.92232668,2
17,0.136048034,-0.741534352,1.894154,2
18,0.145877972,-1.01077545,1.88028383,2
19,0.13385728,-1.03437078,1.77212048,2
20,0.0475453064,-0.102212548,2.08393216,2
21,-0.0749061555,-0.6237755,1.86322844,2
22,-0.0480496362,-0.5690289,1.86395085,2
23,0.0419187248,-0.22441934,1.80896163,2
24,0.047870893,-0.252014071,1.8524996,2
0,0.0601695478,-0.5117926,1.96316266,3
1,0.05943385,-0.274936676,2.034451,3
2,0.0586988032,-0.0432005078,2.09362483,3
3,0.06282296,0.0807901546,2.08992171,3
4,-0.0605164468,-0.1522038,2.06679,3
5,-0.08235691,-0.340688467,2.00901937,3
6,-0.08375126,-0.52270633,1.91208231,3
7,-0.06847288,-0.562167048,1.88983107,3
8,0.185561478,-0.1371097,2.04157257,3
9,0.235882074,-0.293953538,1.99918175,3
10,0.112553678,-0.231754616,1.8345567,3
11,0.0956503,-0.22507149,1.82189286,3
12,0.004584703,-0.50718534,1.94377375,3
13,-0.006418801,-0.7516213,1.90932822,3
14,-0.014766979,-1.02015412,1.90941572,3
15,-0.027597826,-1.0484947,1.803882,3
16,0.1142092,-0.5012245,1.92462,3
17,0.139075771,-0.7396133,1.89558792,3
18,0.147797018,-1.00891984,1.88323247,3
19,0.13764444,-1.03286231,1.77498543,3
20,0.05891867,-0.100526072,2.08089471,3
21,-0.068539165,-0.610730052,1.86105919,3
22,-0.03995093,-0.5585143,1.86290014,3
23,0.06981259,-0.21925357,1.79919267,3
24,0.0711261,-0.235320359,1.81318319,3
0,0.06227933,-0.511562169,1.96223855,4
1,0.0558708943,-0.2753433,2.033178,4
2,0.04733065,-0.04451237,2.09275627,4
3,0.0582108274,0.08024586,2.09051013,4
4,-0.06333586,-0.148922086,2.0542686,4
5,-0.08363669,-0.3350227,1.99536371,4
6,-0.08485579,-0.512549162,1.90147769,4
7,-0.06732291,-0.5668569,1.86827922,4
8,0.17888993,-0.140967846,2.05940318,4
9,0.223581523,-0.302497864,2.006309,4
10,0.123077981,-0.231997967,1.841621,4
11,0.103984132,-0.226166815,1.83248329,4
12,0.005822819,-0.5050011,1.93708193,4
13,-0.0101976171,-0.7461385,1.90496576,4
14,-0.0167570151,-1.01556659,1.91081727,4
15,-0.017720487,-1.04743052,1.80609918,4
16,0.117339216,-0.5030638,1.92974794,4
17,0.138654783,-0.7449074,1.90346086,4
18,0.1478742,-1.01391685,1.88649511,4
19,0.149119884,-1.03549278,1.77690792,4
20,0.0495647825,-0.101608388,2.07986832,4
21,-0.06047526,-0.616607249,1.84026659,4
22,-0.0387985334,-0.5566902,1.84892225,4
23,0.08696647,-0.226103425,1.81103373,4
24,0.09255749,-0.213366941,1.830308,4
0,0.0601177029,-0.512014031,1.96836412,5
1,0.05079568,-0.2767021,2.04140878,5
2,0.04087544,-0.04656599,2.10302758,5
3,0.05145021,0.07990519,2.1037097,5
4,-0.0697177,-0.151246,2.05889654,5
5,-0.08961042,-0.334284961,1.99886966,5
6,-0.08903085,-0.5116589,1.9032737,5
7,-0.07273804,-0.5668251,1.87294245,5
8,0.175335526,-0.1411496,2.069448,5
9,0.219090551,-0.304762483,2.017872,5
10,0.111661784,-0.2283814,1.851089,5
11,0.09630284,-0.225637674,1.83901238,5
12,0.003464229,-0.504788339,1.9406991,5
13,-0.0145679414,-0.7422789,1.90736914,5
14,-0.0210993476,-1.02223873,1.91293108,5
15,-0.0204227455,-1.0542165,1.80832636,5
16,0.1150092,-0.504320145,1.93861222,5
17,0.137339637,-0.747534335,1.90924418,5
18,0.147460863,-1.018168,1.89221835,5
19,0.15047884,-1.03990066,1.78278661,5
20,0.04339586,-0.1035042,2.08961916,5
21,-0.0689595938,-0.6156534,1.84546483,5
22,-0.04213276,-0.5558827,1.85130966,5
23,0.07773695,-0.228512689,1.81545222,5
24,0.07565677,-0.224447548,1.83577085,5
0,0.0507242046,-0.5096435,1.95963275,6
1,0.0534699038,-0.274783075,2.03694,6
2,0.0592985526,-0.0468748957,2.10354829,6
3,0.0646895543,0.0737673044,2.09886026,6
4,-0.06449596,-0.153040841,2.072502,6
5,-0.09123694,-0.338699043,2.010333,6
6,-0.0925039053,-0.5233368,1.90838253,6
7,-0.07862006,-0.5722043,1.88018107,6
8,0.1825362,-0.138447687,2.048588,6
9,0.232034177,-0.300031871,2.00814652,6
10,0.0963000357,-0.240568727,1.8526932,6
11,0.07658903,-0.22697638,1.83765852,6
12,-0.00480928738,-0.504364252,1.93928921,6
13,-0.0131388949,-0.7485249,1.90948379,6
14,-0.0151456818,-1.02534306,1.91510415,6
15,-0.0258545689,-1.058199,1.81179333,6
16,0.104854554,-0.4998817,1.92196608,6
17,0.130123436,-0.738250852,1.88633966,6
18,0.140930668,-1.01146376,1.88282526,6
19,0.132075489,-1.04070652,1.77709675,6
20,0.0577323325,-0.10311798,2.088659,6
21,-0.07623416,-0.612578332,1.85747874,6
22,-0.04979878,-0.555367947,1.85593319,6
